,plot.id,Site,AGB,PTN,PTP,BGB,SSOC,SSTN,TAN,SSTP,SR
74,P779.5,P779,31.14,1.38,0.12,352.36,1850.63,135,24.9,64.52,4
75,P779.9,P779,66.97,1.72,0.13,210.79,1885.71,140,26.05,65.54,5
76,P780.1,P780,47.84,2.17,0.17,461.5,3764.93,310,43.41,61.86,5
77,P780.5,P780,68.64,2.01,0.17,250.91,3207.06,300,44.42,55.38,5
78,P780.9,P780,48.84,1.94,0.15,396.64,3126.29,265,36.95,63.89,6
79,P781.1,P781,51.7,1.98,0.21,412.23,2978.38,255,24.84,66.36,4
80,P781.5,P781,53,1.88,0.17,366.7,3591.3,295,31.42,68.97,4
81,P781.9,P781,28.49,1.8,0.14,428.44,2933.11,265,23.82,60.27,5
82,P782.1,P782,24.77,1.93,0.09,150.46,3034.39,320,26.08,54.39,7
83,P782.5,P782,44.45,1.77,0.1,197.9,3270.46,330,16.83,67.71,9
84,P782.9,P782,39.46,1.66,0.12,301.8,3187.81,305,21.37,65.64,8
85,P783.1,P783,141.09,1.31,0.12,257.27,4418.05,420,30.73,63.63,12
86,P783.5,P783,180.11,1.38,0.1,399.59,4751.81,440,41.63,65.15,9
87,P783.9,P783,174.17,1.35,0.1,663.27,4366.05,425,24.07,64.16,9
88,P784.1,P784,110.07,1.54,0.11,106.52,2535.59,200,17.81,57.26,9
89,P784.5,P784,48.19,1.42,0.12,447.03,2172.77,185,10.49,60.25,8
90,P784.9,P784,96.38,1.65,0.14,433.64,2322.2,200,14.24,66.65,6
91,P785.1,P785,218.7,2.49,0.12,822.17,2124.49,190,62.13,67.43,4
92,P785.5,P785,226.94,1.31,0.09,72.25,1458.58,130,29,61.51,5
93,P785.9,P785,316.26,1.53,0.1,161.52,1868.86,155,31.92,69.94,5
96,P786.9,P786,66.37,1.64,0.1,16.01,443.64,50,10.35,60.92,3
97,P787.1,P787,175,1.46,0.12,136.79,2016.61,250,28.16,91.8,4
98,P787.5,P787,237.88,1.84,0.13,392.41,1975.35,160,18.74,82.51,6
99,P787.9,P787,147.57,1.6,0.14,325.67,1985.72,175,18.22,63.92,5
105,P789.9,P789,383.45,0.58,0.08,4.48,538.68,43.33,30.57,52.17,3
109,P791.1,P791,105.74,1.6,0.09,19.96,757.53,56.67,12.29,61.11,4
111,P791.9,P791,184.5,1.36,0.12,40.41,633.77,40,9.82,47.47,4
112,P793.1,P793,167.01,1.73,0.15,5343.01,3843.67,370,50.68,60.99,9
113,P793.5,P793,134.98,1.4,0.18,6688.27,4533.61,415,63.79,53.62,8
114,P793.9,P793,139.08,1.93,0.17,3318.94,3271.78,285,53.62,67.96,9
115,P794.1,P794,48.05,1.97,0.14,1268.63,811.77,70,8.01,42.85,8
116,P794.5,P794,52.81,2.16,0.14,118.65,640.02,40,10.9,40.57,6
117,P794.9,P794,44.82,1.81,0.15,483.15,572.03,45,10.88,38.37,6
118,P795.1,P795,39.12,1.3,0.12,822.84,1297.41,70,17.71,51.16,7
119,P795.5,P795,66.15,1.44,0.1,1164.39,1217.43,85,30.13,45.01,8
120,P795.9,P795,75.67,1.4,0.11,159.15,852.22,65,16.48,45.26,5
121,P796.1,P796,68.12,1.53,0.15,2199,2527.84,205,32.12,43.65,4
122,P796.5,P796,63.17,1.99,0.14,1791.86,2669.61,215,26.24,46.54,3
123,P796.9,P796,75.95,1.62,0.13,1823.66,2024.63,145,19.46,49.49,5
124,P797.1,P797,248.16,1.79,0.15,558.31,489.34,30,28.87,21.18,9
125,P797.5,P797,183.6,1.62,0.15,695.21,755.65,45,28.18,19.62,12
126,P797.9,P797,302.41,2.23,0.22,720.88,926.54,60,20.37,19.65,7
127,P798.1,P798,151.1,1.54,0.11,488.43,1100.76,45,13.81,23.61,7
128,P798.5,P798,69.35,1.39,0.11,521.23,644.05,35,12.44,24.12,9
129,P798.9,P798,167.76,1.41,0.12,1055.29,1024.68,55,20.53,25.18,9
130,P799.1,P799,87.15,1.48,0.11,1039.61,775.09,65,30.73,38.73,11
131,P799.5,P799,58.54,1.57,0.11,725.87,1469.74,90,38.11,37.43,12
132,P799.9,P799,43.85,1.13,0.08,1386.14,1471.53,100,25.5,35.02,6
133,P800.1,P800,69.6,1.85,0.13,1883.84,3515.02,160,33.05,44.99,4
134,P800.5,P800,133.16,1.76,0.12,1744.8,3086.87,235,20.41,48.14,4
135,P800.9,P800,114.81,1.29,0.14,1058.14,5153.2,360,29.76,55.61,4
136,P801.1,P801,118.79,1.43,0.16,824.27,1915.16,160,34.62,40.68,9
137,P801.5,P801,141.97,1.32,0.16,1116.61,1460.99,100,13.18,36.13,9
138,P801.9,P801,149.43,1.47,0.2,463.76,1523.75,115,19.87,31.85,12
139,P802.1,P802,51.48,1.5,0.12,342.26,2370.86,190,12.09,58.08,7
140,P802.5,P802,48.6,1.01,0.12,360.51,1814.46,160,20.45,58.1,7
141,P802.9,P802,168.96,1.42,0.14,201.79,2383.13,195,10.6,64.75,4
142,P803.1,P803,50.11,1.52,0.18,783.63,2175,160,20.06,46.71,9
143,P803.5,P803,72.16,2.3,0.15,1248.67,3025,265,72.36,45.38,8
144,P803.9,P803,52.9,2.15,0.13,809.29,2285,230,24.06,49.82,10
145,P804.1,P804,86.21,1.39,0.18,2972.92,1884.69,145,16.91,30.03,12
146,P804.5,P804,66.13,1.69,0.18,2071.37,1446.21,85,12.48,21.25,10
147,P804.9,P804,106.79,1.15,0.15,1929.47,774.15,45,12.04,22.55,11
148,P805.1,P805,87.6,1.53,0.18,1557.98,21789.54,1550,94.79,74.83,6
149,P805.5,P805,86.35,1.58,0.19,2380.11,21934.88,1450,81.7,80.97,6
150,P805.9,P805,52.63,1.92,0.16,3856.81,19354.61,1240,75.08,61.74,7
151,P806.1,P806,24.71,1.89,0.2,240.99,4275,390,17.17,54.24,7
152,P806.5,P806,22.52,1.85,0.14,118.91,3815,340,15.61,55.91,5
153,P806.9,P806,28.98,1.89,0.13,482.53,6545,535,22.28,66.34,8
154,P807.1,P807,54.71,1.73,0.11,3004.02,2135,195,13.91,37.54,9
155,P807.5,P807,26.63,1.9,0.18,2035.72,2315,205,13.1,33.85,8
156,P807.9,P807,35.66,1.7,0.11,1236.4,2295.07,205,15.8,35.21,7
157,P808.1,P808,52.77,1.83,0.17,409.28,591.39,50,8.99,23.04,9
158,P808.5,P808,66.05,1.86,0.17,303.04,829.79,45,9.51,19.36,9
159,P808.9,P808,74.45,2.08,0.17,530.5,909.5,90,14.91,21.61,7
160,P809.1,P809,91.03,1.83,0.17,2942.7,2847.43,250,12.83,47.6,9
161,P809.5,P809,89.58,2.03,0.14,2360.86,3950,335,36.32,45.77,10
162,P809.9,P809,45.64,1.65,0.14,3103.84,3140,270,24.83,42.02,12
163,P810.1,P810,45.88,1.91,0.12,457.77,1939.5,150,14.61,38.48,8
164,P810.5,P810,38.54,1.44,0.14,538.34,1715.01,135,11.18,36.12,7
165,P810.9,P810,33.68,1.54,0.12,483.44,2300,185,12.34,40.98,11
166,P811.1,P811,44.23,1.9,0.15,1925.19,9425,555,50.86,74.25,9
167,P811.5,P811,41.39,1.89,0.12,2308.09,11199.98,660,63.22,73.43,10
168,P811.9,P811,32.56,1.69,0.21,3036.82,10752.42,675,52.52,79.88,10
169,P812.1,P812,74.03,1.85,0.13,4501.39,15543.04,1165,144.66,75.72,9
170,P812.5,P812,75.43,1.7,0.23,2073.51,7235.91,650,38.02,79.93,7
171,P812.9,P812,86.36,1.47,0.26,1481.69,8393.71,595,61.77,68.03,5
172,P813.1,P813,283.09,1.61,0.11,819.99,7197,535,83.49,73.38,9
173,P813.5,P813,248.95,1.24,0.13,2042.13,7874.03,605,129.46,88.35,8
174,P813.9,P813,409.77,0.99,0.11,781.49,4942.66,330,23.24,58.39,7
175,P814.1,P814,114.35,0.93,0.11,234.59,1733.25,145,8.77,61.8,4
176,P814.5,P814,55.37,1.44,0.14,351.53,197.73,30,16.17,64.33,3
177,P814.9,P814,109.28,0.92,0.13,273.09,857.61,50,14.58,62.53,3
178,P815.1,P815,212.24,2.13,0.11,1593.63,6870.13,560,102.98,76.47,9
179,P815.5,P815,225.82,2.06,0.12,2044.27,8325,660,106.15,79.75,13
180,P815.9,P815,268.82,2.1,0.12,1120.18,10412.66,700,62.99,69.1,11
