"","V1","V2","V3","V4","V5"
"1",0.677156992965159,0.0990386742504753,1.25527531167984,1,1
"2",0.0464907412046406,-0.275021247766448,0.368002730175729,1,2
"3",0.556210152724869,0.0846331925834963,1.02778711286624,1,3
"4",-0.140996077881559,-0.758203072695208,0.47621091693209,1,4
"5",0.536534417601396,-0.0310901001392407,1.10415893534203,1,5
"6",0.209225669888159,-0.254809871613908,0.673261211390225,1,6
"7",0.331577323131446,-0.047521957262588,0.710676603525479,1,7
"8",0.378920862136586,-0.17550657400518,0.933348298278352,1,8
"9",-0.255362531011165,-0.767593624516748,0.256868562494417,1,9
"10",0.463716108266261,-0.105333191442532,1.03276540797505,1,10
"11",0.357581649615116,-0.0475925533834566,0.762755852613688,2,1
"12",0.618666287628852,0.191893768218041,1.04543880703966,2,2
"13",0.282420526962975,-0.125979398133083,0.690820452059033,2,3
"14",0.617423366736793,0.0648088780842597,1.17003785538933,2,4
"15",0.422604303508337,-0.0108997476380462,0.856108354654721,2,5
"16",0.507607406055376,0.0755706431073576,0.939644169003395,2,6
"17",0.534210410576365,0.14350818540683,0.924912635745901,2,7
"18",0.208277126383632,-0.193997661493629,0.610551914260894,2,8
"19",0.582176770673528,0.06253560475608,1.10181793659098,2,9
"20",0.29127976766148,-0.00477143452626883,0.587330969849229,2,10
"21",0.0193986596159224,-0.323240281247046,0.362037600478891,2,11
"22",0.27355988404537,-0.118414466271304,0.665534234362045,2,12
"23",0.134621901125334,-0.192056264602497,0.461300066853165,2,13
"24",0.184768860056928,-0.101177211264879,0.470714931378736,2,14
"25",0.201498128765534,-0.157574823679994,0.560571081211062,2,15
"26",-0.115555435600892,-0.413413147357495,0.182302276155711,2,16
"27",0.238247455697794,-0.146714530386453,0.623209441782041,2,17
"28",0.30449659630949,-0.13087616305456,0.73986935567354,2,18
"29",0.525029187088687,0.133705874551856,0.916352499625519,2,19
"30",0.386128001434168,-0.00400614099601065,0.776262143864348,2,20
"31",0.435794603998528,0.0876496842164838,0.783939523780573,2,21
"32",0.459323500387873,0.0186428529562935,0.900004147819452,2,22
"33",0.132902327452537,-0.188034036085155,0.453838690990229,2,23
"34",0.4920469537547,0.0802468759450117,0.903847031564388,2,24
"35",0.239044357358885,-0.144994928628504,0.623083643346275,2,25
"36",0.0748198186136785,-0.358415743210038,0.508055380437395,2,26
"37",0.175526011962962,-0.186872196409588,0.537924220335513,2,27
"38",0.179135722164612,-0.259908387109849,0.618179831439074,2,28
"39",-0.115525877276684,-0.49510726731136,0.264055512757993,2,29
"40",0.210711443401895,-0.214059599957816,0.635482486761607,2,30
"41",0.352140956616421,-0.0665051691173267,0.770787082350169,2,31
"42",0.419808561146381,0.00134248123708519,0.838274641055677,2,32
"43",0.435613372003447,0.0437132144956787,0.827513529511215,2,33
"44",0.117122845004729,-0.269032044964728,0.503277734974187,2,34
"45",0.48884169189426,-0.0207055729650814,0.998388956753601,2,35
"46",0.279144452296796,-0.0709387782598284,0.62922768285342,2,36
"47",0.298491276442377,-0.115648436038271,0.712630988923025,2,37
"48",-0.0215044805391237,-0.366057919625494,0.323048958547247,2,38
"49",0.320214230487388,-0.099736426155467,0.740164887130244,2,39
"50",0.340128915887037,0.0110791404183007,0.669178691355773,2,40
"51",0.0258314959269677,-0.287204655536937,0.338867647390873,2,41
"52",0.381595223550552,-0.00959655592272252,0.772787003023826,2,42
"53",0.0395241287251015,-0.29719987857826,0.376248136028463,2,43
"54",0.396424690811829,0.0132557883615768,0.779593593262082,2,44
"55",0.08194103727998,-0.310022718395928,0.473904792955889,2,45
"56",0.41525000869437,0.0703331751175463,0.760166842271193,3,1
"57",0.231410159726427,-0.0952942795796279,0.558114599032483,3,2
"58",0.411050542688894,-0.0291122747276824,0.851213360105471,3,3
"59",0.307181059636248,-0.0535686163483449,0.667930735620841,3,4
"60",0.344910272586029,-0.0112631102507232,0.701083655422782,3,5
